age_head,sex_head,edu_group,marital_head,household_size,urban,region,consumption_pc,consumption_per_member,nonfood_share,welfare_ratio,age_group,hh_size_group,education_head,target,welfare_pc,hpline,spline,wgt
15.0,0.0,0,,8.0,0.0,2,6023.279947916667,72279.359375,1.0,2.828530422828565,0.0,2.0,1.0,2,86585.4375,30611.45703125,41245.17578125,740.170600927286
15.0,0.0,0,,6.0,0.0,3,1918.18359375,23018.203125,1.0,1.1371126746993856,0.0,2.0,1.0,1,34808.67578125,30611.45703125,41684.78515625,5243.72749416039
15.0,0.0,0,,6.0,0.0,2,3904.097222222222,46849.166666666664,1.0,2.0062791798362873,0.0,2.0,1.0,2,61415.12890625,30611.45703125,41245.17578125,807.458881615034
15.0,0.0,0,,4.0,0.0,2,4032.9720052083335,48395.6640625,1.0,2.2919467065346373,0.0,1.0,1.0,2,70159.828125,30611.45703125,41245.17578125,1480.34120185457
15.0,0.0,0,,4.0,0.0,4,3847.5458984375,46170.55078125,1.0,1.9938664202651861,0.0,1.0,1.0,2,61035.15625,30611.45703125,40558.76171875,9108.68303225013
15.0,0.0,0,,3.0,1.0,1,10689.579861111111,128274.95833333333,1.0,4.95269834249406,0.0,1.0,1.0,2,151609.3125,30611.45703125,46233.65234375,951.58450187814
15.0,0.0,0,,5.0,0.0,4,4214.783333333334,50577.4,1.0,2.3974425935550836,0.0,1.0,1.0,2,73389.2109375,30611.45703125,40558.76171875,910.868348685363
15.0,0.0,0,,2.0,0.0,2,4839.433268229167,58073.19921875,1.0,2.1483975120120085,0.0,0.0,1.0,2,65765.578125,30611.45703125,41245.17578125,8882.04769776538
15.0,0.0,0,,2.0,0.0,1,6213.844401041667,74566.1328125,1.0,2.4548741133355785,0.0,0.0,1.0,2,75147.2734375,30611.45703125,42584.00390625,1122.38926180716
15.0,0.0,0,,3.0,0.0,3,2513.5750868055557,30162.901041666668,1.0,1.2086025797377489,0.0,1.0,1.0,1,36997.0859375,30611.45703125,41684.78515625,582.636404793577
15.0,0.0,0,,5.0,0.0,1,15702.454166666666,188429.45,1.0,8.410483054177147,0.0,1.0,1.0,2,257457.140625,30611.45703125,42584.00390625,3367.16803686164
15.0,1.0,0,,4.0,0.0,3,5221.50390625,62658.046875,1.0,2.2767167572700835,0.0,1.0,1.0,2,69693.6171875,30611.45703125,41684.78515625,582.636404793577
15.0,1.0,0,,1.0,0.0,2,6076.076822916667,72912.921875,1.0,3.0781640299351767,0.0,0.0,1.0,2,94227.0859375,30611.45703125,41245.17578125,1776.40966121256
15.0,1.0,0,,1.0,1.0,1,15364.401041666666,184372.8125,1.0,6.973486872319685,0.0,0.0,1.0,2,213468.59375,30611.45703125,46233.65234375,1562.03021397728
15.0,0.0,0,,4.0,0.0,3,5165.30078125,61983.609375,1.0,2.871109711399161,0.0,1.0,1.0,2,87888.8515625,30611.45703125,41684.78515625,873.954607190366
15.0,0.0,0,,12.0,0.0,2,853.1139865451389,10237.367838541666,1.0,0.44866585134012704,0.0,3.0,1.0,0,13734.3154296875,30611.45703125,41245.17578125,986.894154846295
15.0,0.0,0,,6.0,0.0,2,7038.261284722223,84459.13541666667,1.0,3.436165967781926,0.0,2.0,1.0,2,105186.046875,30611.45703125,41245.17578125,888.204769776538
15.0,0.0,0,,1.0,1.0,1,22532.505208333332,270390.0625,1.0,8.790482219624417,0.0,0.0,1.0,2,269089.46875,30611.45703125,46233.65234375,7810.1511994899
15.0,0.0,0,,7.0,1.0,3,17210.79761904762,206529.57142857142,1.0,8.070572535073865,0.0,2.0,1.0,2,247051.984375,30611.45703125,43537.83203125,3765.67285530507
15.0,0.0,0,,8.0,0.0,2,4836.58984375,58039.078125,1.0,2.4291109346441853,0.0,2.0,1.0,2,74358.625,30611.45703125,41245.17578125,8882.04769776538
15.0,1.0,0,,5.0,0.0,2,5464.557291666667,65574.6875,1.0,2.356768994656183,0.0,1.0,1.0,2,72144.1328125,30611.45703125,41245.17578125,888.204769776538
15.0,1.0,0,,4.0,0.0,3,1553.5411783854167,18642.494140625,1.0,0.7677405939590888,0.0,1.0,1.0,0,23501.658203125,30611.45703125,41684.78515625,753.134571061014
15.0,1.0,0,,3.0,0.0,4,9559.091145833334,114709.09375,1.0,3.8953708227860457,0.0,1.0,1.0,2,119242.9765625,30611.45703125,40558.76171875,610.614314472693
15.0,0.0,0,,7.0,0.0,4,7132.255208333333,85587.0625,1.0,4.041592627760261,0.0,2.0,1.0,2,123719.0390625,30611.45703125,40558.76171875,3036.22767741671
15.0,0.0,0,,6.0,1.0,3,1531.2728949652778,18375.274739583332,1.0,0.8974351285192061,0.0,2.0,1.0,0,27471.796875,30611.45703125,43537.83203125,1075.90649951912
15.0,1.0,0,,3.0,0.0,2,5209.355034722223,62512.260416666664,1.0,3.1682056337923927,0.0,1.0,1.0,2,96983.390625,30611.45703125,41245.17578125,888.204769776538
15.0,0.0,0,,4.0,0.0,4,4602.971354166667,55235.65625,1.0,2.741745361118239,0.0,1.0,1.0,2,83928.8203125,30611.45703125,40558.76171875,1301.24054141752
15.0,1.0,0,,1.0,0.0,2,7201.338541666667,86416.0625,1.0,3.6482260714017283,0.0,0.0,1.0,2,111677.515625,30611.45703125,41245.17578125,555.127981110336
